КУБЫЗ	кубыз+N+Sg+Nom;
бит	бит+N+Sg+Nom;бит+PART;
бишек	бишек+N+Sg+Nom;
җыры	җыр+N+Sg+POSS_3(СЫ)+Nom;
.	Type1
Аны	ул+PN+ACC(нЫ);
бала	бала+N+Sg+Nom;
йокыга	йокы+N+Sg+DIR(ГА);
киткәч	ки+V+CAUS(т)+ADVV_ANT(ГАч);кит+V+ADVV_ANT(ГАч);
,	Type2
тәмамлилар	NR
.	Type1
Йокламаса	йокла+V+NEG(мА)+COND(сА);
,	Type2
төне	төн+N+Sg+POSS_3(СЫ)+Nom;
буе	буе+POST;буй+N+Sg+POSS_3(СЫ)+Nom;буй+PROP+POSS_3(СЫ)+Nom;
җырлыйсын	NR
.	Type1
ә	ә+PART;
син	син+PN;
йокламыйсын	NR
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Ярар	яр+V+PCP_FUT(Ыр);яра+V+FUT_INDF(Ыр);яра+V+PCP_FUT(Ыр);ярар+MOD;
,	Type2
әйдә	әйдә+INTRJ;әйдә+V+IMP_SG();
тагын	тагын+Adv;
җырла	җырла+V+IMP_SG();
,	Type2
мин	мин+PN;
тырышырмын	тырыш+V+FUT_INDF(Ыр)+1SG(мЫн);тырыш+V+PCP_FUT(Ыр)+1SG(мЫн);
.	Type1
БАБАЙ	бабай+N+Sg+Nom;
җырлый	җырла+V+PRES(Й);
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
йокыга	йокы+N+Sg+DIR(ГА);
китә	ки+V+CAUS(т)+PRES(Й);кит+V+PRES(Й);
.	Type1
Капкага	капка+N+Sg+DIR(ГА);
шакудан	шакы+V+VN_1(у/ү/в)+ABL(ДАн);
уяна	уян+V+PRES(Й);
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
–	Type2
карт	карт+Adj;карт+N+Sg+Nom;
.	Type1
ИКЕНЧЕ	ике+Num+NUM_ORD(ЫнчЫ);
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
(	Type3
керә	кер+V+PRES(Й);
)	Type3
.	Type1
Исәнмесез	исәнмесез+INTRJ;
,	Type2
миңа	мин+PN+DIR(ГА);
Галимҗан	галимҗан+PROP+Sg+Nom;
карт	карт+Adj;карт+N+Sg+Nom;
кирәк	кирәк+MOD;
иде	и+V+PST_DEF(ДЫ);
.	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Мин	мин+PN;
әлфия	әлфия+PROP+Sg+Nom;
карчык	карчык+N+Sg+Nom;
шул	шул+PART;шул+PN;
.	Type1
ИКЕНЧЕ	ике+Num+NUM_ORD(ЫнчЫ);
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
Мин	мин+PN;
борыңгы	NR
җырлар	җыр+N+PL(ЛАр)+Nom;җырла+V+FUT_INDF(Ыр);җырла+V+PCP_FUT(Ыр);
яздырам	яз+V+CAUS(ДЫр)+PRES(Й)+1SG(м);
,	Type2
сез	сез+PN;
андыйларны	андый+Adj+PL(ЛАр)+ACC(нЫ);андый+PN+PL(ЛАр)+ACC(нЫ);
җырлыйсызмы	җырла+V+PRES(Й)+2PL(сЫз)+INT(мЫ);
?	Type1
КЫЗ	кыз+N+Sg+Nom;кыз+V+IMP_SG();
.	Type1
җырламыйм	җырла+V+NEG(мА)+HOR_SG(Йм);җырла+V+NEG(мА)+PRES(Й)+1SG(м);
.	Type1
Хәзер	хәзер+Adv;
җырламыйлар	җырла+V+NEG(мА)+PRES(Й)+3PL(ЛАр);
инде	инде+PART;
.	Type1
Яздыралар	яз+V+CAUS(ДЫр)+PRES(Й)+3PL(ЛАр);
гына	гына+PART;
.	Type1
