Татарчага	татарча+N+Sg+DIR(ГА);
?	Type1
ВЕРНОН	вернон+N+Sg+Nom;
җИЗНИ	җизни+N+Sg+Nom;
:	Type2
Мин	мин+PN;
сезгә	сез+PN+DIR(ГА);
нәрсә	нәрсә+PN;
дә	дә+PART;
булса	бул+V+COND(сА);
хәбәр	хәбәр+N+Sg+Nom;
итәргә	и+V+CAUS(т)+INF_1(ЫргА);ит+V+INF_1(ЫргА);
рөхсәт	рөхсәт+N+Sg+Nom;
бирмим	бир+V+NEG(мА)+HOR_SG(Йм);бир+V+NEG(мА)+PRES(Й)+1SG(м);
!	Type1
КЕЧКЕНә	кечкенә+Adj;
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Нәрсә	нәрсә+PN;
хәбәр	хәбәр+N+Sg+Nom;
итәргә	и+V+CAUS(т)+INF_1(ЫргА);ит+V+INF_1(ЫргА);
?	Type1
һАГРИД	һагрид+N+Sg+Nom;
башта	баш+N+Sg+LOC(ДА);
ВЕРНОН	вернон+N+Sg+Nom;
АГАЙга	агай+N+Sg+DIR(ГА);
,	Type2
аннары	аннары+PN;
КЕЧКЕНә	кечкенә+Adj;
һАРРИга	һарри+N+Sg+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
һАГРИД	һагрид+N+Sg+Nom;
:	Type2
һарри	һарри+N+Sg+Nom;
,	Type2
син	син+PN;
—	Type2
тылсымчы	тылсым+N+PROF(чЫ)+Sg+Nom;
,	Type2
һәм	һәм+CNJ;
син	син+PN;
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
дөньяны	дөнья+N+Sg+ACC(нЫ);
үзгәрттең	үзгәр+V+CAUS(т)+PST_DEF(ДЫ)+2SG(ң);үзгәрт+V+PST_DEF(ДЫ)+2SG(ң);
.	Type1
Син	син+PN;
бу	бу+PN;
дөньяда	дөнья+N+Sg+LOC(ДА);
иң	иң+N+Sg+Nom;иң+PART;иң+V+IMP_SG();
атаклы	атаклы+Adj;
тылсымчыларның	тылсым+N+PROF(чЫ)+PL(ЛАр)+GEN(нЫң);
берсе	бер+PN+POSS_3(СЫ)+Nom;
.	Type1
Аннары	аннары+PN;
бүлмә	бүл+V+NEG(мА)+IMP_SG();бүлмә+N+Sg+Nom;
артында	арт+Adj+Sg+POSS_3(СЫ)+LOC(ДА);артында+POST;
пышылдаган	пышылда+V+PCP_PS(ГАн);пышылда+V+PST_INDF(ГАн);
тавышлар	тавыш+N+PL(ЛАр)+Nom;тавышла+V+FUT_INDF(Ыр);тавышла+V+PCP_FUT(Ыр);
пәйда	пәй+N+Sg+Nom+PART(ДА);пәй+N+Sg+LOC(ДА);
була	бул+V+PRES(Й);
,	Type2
алар	алар+PN;
көчәя	көчәй+V+PRES(Й);
.	Type1
Сүзләрне	сүз+N+PL(ЛАр)+ACC(нЫ);
беркемнеке	беркем+PN+ATTR_GEN(нЫкЫ);
белән	белән+POST;
дә	дә+PART;
бутап	бута+V+ADVV_ACC(Ып);
булмый	бул+V+NEG(мА)+PRES(Й);
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
тавыш	тавыш+N+Sg+Nom;
белән	белән+POST;
әйтәләр	әйт+V+PRES(Й)+3PL(ЛАр);
.	Type1
Бу	бу+PN;
–	Type2
ВОЛДЕМОРТ	волдеморт+N+Sg+Nom;
тавышы…	Error
һааааааарри	һааааааарри+N+Sg+Nom;
Поттттееер…	Error
.	Type1
34	Num
БЕРЕНЧЕ	бер+Num+NUM_ORD(ЫнчЫ);
ПәРДә	пәрдә+N+Sg+Nom;
,	Type2
ТУГЫЗЫНЧЫ	тугыз+Num+NUM_ORD(ЫнчЫ);
КүРЕНЕШ	күр+V+REFL(Ын)+RECP(Ыш)+IMP_SG();күр+V+REFL(Ын)+VN_2(Ыш)+Nom;күрен+V+RECP(Ыш)+IMP_SG();күрен+V+VN_2(Ыш)+Nom;күренеш+N+Sg+Nom;
һАРРИ	һарри+N+Sg+Nom;
һәМ	һәм+CNJ;
ДЖИННИ	джинни+N+Sg+Nom;
ПОТТЕРЛАРНЫң	поттерларн+N+Sg+POSS_2SG(Ың)+Nom;поттер+N+PL(ЛАр)+GEN(нЫң);
ЙОРТЫ	йорт+N+Sg+POSS_3(СЫ)+Nom;
,	Type2
ЙОКЫ	йокы+N+Sg+Nom;
БүЛМәСЕ	бүлмә+N+Sg+POSS_3(СЫ)+Nom;
һАРРИ	һарри+N+Sg+Nom;
сискәнеп	сискән+V+ADVV_ACC(Ып);
уянып	уян+V+ADVV_ACC(Ып);
китә	ки+V+CAUS(т)+PRES(Й);кит+V+PRES(Й);
.	Type1
Төн	төн+N+Sg+Nom;
.	Type1
Ул	ул+N+Sg+Nom;ул+PN;
бик	бик+Adv;
авыр	авыр+Adj;авыр+V+IMP_SG();ау+V+FUT_INDF(Ыр);ау+V+PCP_FUT(Ыр);
итеп	ит+V+ADVV_ACC(Ып);
сулый	сула+V+PRES(Й);
.	Type1
Бер	бер+Num;бер+PN;
мизгел	мизгел+N+Sg+Nom;
көтеп	көт+V+ADVV_ACC(Ып);
тора	тор+V+PRES(Й);
.	Type1
үзен	үз+PN+POSS_3(СЫ)+ACC(нЫ);
тынычландырырга	тынычла+V+REFL(Ын)+CAUS(ДЫр)+INF_1(ЫргА);тынычлан+V+CAUS(ДЫр)+INF_1(ЫргА);тынычландыр+V+INF_1(ЫргА);
тырыша	тырыш+V+PRES(Й);
.	Type1
Аннан	аннан+PN;ул+PN+ABL(ДАн);
кинәт	кинәт+Adv;
кенә	кенә+PART;
маңгаенда	маңгаен+N+Sg+Nom+PART(ДА);маңгаен+N+Sg+LOC(ДА);
бик	бик+Adv;
көчле	көч+N+ATTR_MUN(лЫ);
авырту	авыр+V+CAUS(т)+VN_1(у/ү/в)+Nom;авырт+V+VN_1(у/ү/в)+Nom;
сизә	сиз+V+PRES(Й);
.	Type1
Аның	ул+PN+GEN(нЫң);
ярасы	яр+V+OBL(ЙсЫ);яра+N+Sg+POSS_3(СЫ)+Nom;
авырта	авыр+V+CAUS(т)+PRES(Й);авырт+V+PRES(Й);
.	Type1
Тирәсендә	тирә+Adj+Sg+POSS_3(СЫ)+LOC(ДА);тирәсендә+POST;
Караңгы	караңгы+Adj;
Тылсым	тылсым+N+Sg+Nom;
–	Type2
Сихер	сихер+N+Sg+Nom;
бөтерелә	бөтер+V+PASS(Ыл)+PRES(Й);бөтерел+V+PRES(Й);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
һарри…	Error
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
да	да+PART;
тәртиптә	тәртип+N+Sg+LOC(ДА);
.	Type1
Йокла	йокла+V+IMP_SG();
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Люмос	люмос+N+Sg+Nom;
.	Type1
Аның	ул+PN+GEN(нЫң);
тылсым	тылсым+N+Sg+Nom;
таягында	таяк+N+Sg+POSS_3(СЫ)+LOC(ДА);
кабынган	кабын+V+PCP_PS(ГАн);кабын+V+PST_INDF(ГАн);кап+V+REFL(Ын)+PCP_PS(ГАн);кап+V+REFL(Ын)+PST_INDF(ГАн);
яктылыктан	якты+Adj+NMLZ(лЫк)+Sg+ABL(ДАн);якты+Adj+PSBL(лЫк)+ABL(ДАн);якты+N+NMLZ(лЫк)+Sg+ABL(ДАн);якты+N+PSBL(лЫк)+ABL(ДАн);
бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
бүлмә	бүл+V+NEG(мА)+IMP_SG();бүлмә+N+Sg+Nom;
яктыра	як+V+CAUS(ДЫр)+PRES(Й);яктыр+V+PRES(Й);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
аңа	ул+PN+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
.	Type1
Куркыныч	куркыныч+Adj;
төшләрме	төш+N+PL(ЛАр)+Nom+INT(мЫ);
?	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
әйе	әйе+MOD;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Нәрсә	нәрсә+PN;
күрдең	күр+V+PST_DEF(ДЫ)+2SG(ң);
?	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Дурсльләр	дурсль+N+PL(ЛАр)+Nom;
.	Type1
әйе	әйе+MOD;
,	Type2
шулардан	шул+PN+PL(ЛАр)+ABL(ДАн);
башланды	башла+V+REFL(Ын)+PST_DEF(ДЫ);башлан+V+PST_DEF(ДЫ);
,	Type2
ә	ә+PART;
аннан	аннан+PN;ул+PN+ABL(ДАн);
тагын	тагын+Adv;
нәрсәдер	нәрсә+PN+PROB(ДЫр);
керде	кер+V+PST_DEF(ДЫ);
.	Type1
Пауза	пауза+N+Sg+Nom;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
аңа	ул+PN+DIR(ГА);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);
кайда	кай+PN+LOC(ДА);кайда+PN;
булуын	бул+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
аңларга	аңла+V+INF_1(ЫргА);
тырыша	тырыш+V+PRES(Й);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Бәлки	бәлки+CNJ;
,	Type2
Йокы	йокы+N+Sg+Nom;
төнәтмәсе	төнәтмә+N+Sg+POSS_3(СЫ)+Nom;
эчәрсең	эч+V+PCP_FUT(Ыр)+2SG(сЫң);
?	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Юк	юк+MOD;
,	Type2
мин	мин+PN;
әйбәтләнермен	әйбәтлә+V+REFL(Ын)+FUT_INDF(Ыр)+1SG(мЫн);әйбәтлә+V+REFL(Ын)+PCP_FUT(Ыр)+1SG(мЫн);әйбәтлән+V+FUT_INDF(Ыр)+1SG(мЫн);әйбәтлән+V+PCP_FUT(Ыр)+1SG(мЫн);
.	Type1
Йокла	йокла+V+IMP_SG();
инде	инде+PART;
әйдә	әйдә+INTRJ;әйдә+V+IMP_SG();
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Син	син+PN;
рәтләнәчәккә	рәтлә+V+REFL(Ын)+PCP_FUT(АчАк)+DIR(ГА);рәтлән+V+PCP_FUT(АчАк)+DIR(ГА);
охшамагансың	охша+V+NEG(мА)+PCP_PS(ГАн)+2SG(сЫң);охша+V+NEG(мА)+PST_INDF(ГАн)+2SG(сЫң);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
берни	берни+PN;
дә	дә+PART;
дәшми	дәш+V+NEG(мА)+PRES(Й);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
(	Type3
аның	ул+PN+GEN(нЫң);
дулкынлаганын	дулкынлаганын+N+Sg+Nom;
күреп	күр+V+ADVV_ACC(Ып);
)	Type3
:	Type2
Бу	бу+PN;
җиңел	җиң+V+PASS(Ыл)+IMP_SG();җиңел+Adj;җиңел+V+IMP_SG();
булмас	бул+V+FUT_INDF_NEG(мАс);бул+V+PCP_FUT(мАс);
.	Type1
Амос	Rus
Диггори	диггори+N+Sg+Nom;
белән	белән+POST;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Ачуны	ач+V+VN_1(у/ү/в)+ACC(нЫ);ачу+N+Sg+ACC(нЫ);
җиңә	җиң+V+PRES(Й);
алам	ал+V+PRES(Й)+1SG(м);
мин	мин+PN;
,	Type2
ләкин	ләкин+CNJ;
аның	ул+PN+GEN(нЫң);
хаклы	хак+Adj+Sg+ATTR_MUN(лЫ);хак+N+ATTR_MUN(лЫ);хаклы+Adj;
булуы…	Error
Амос	Rus
минем	мин+PN+GEN(нЫң);
аркада	арка+N+Sg+LOC(ДА);
үз	үз+PN;
улын	ул+N+Sg+POSS_3(СЫ)+ACC(нЫ);ул+PN+POSS_3(СЫ)+ACC(нЫ);
югалтты…	Error
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Син	син+PN;
моны	бу+PN+ACC(нЫ);
гадел	гадел+Adj;
булмады	бул+V+NEG(мА)+PST_DEF(ДЫ);
дип	ди+V+ADVV_ACC(Ып);
саныйсың	сана+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;сана+V+PRES(Й)+2SG(сЫң);
,	Type2
ахры	ахры+PART;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
һәм	һәм+CNJ;
мин	мин+PN;
берни	берни+PN;
дә	дә+PART;
әйтә	әйт+V+PRES(Й);
алмыйм	ал+V+NEG(мА)+HOR_SG(Йм);ал+V+NEG(мА)+PRES(Й)+1SG(м);
,	Type2
беркемгә	беркем+PN+DIR(ГА);
берни	берни+PN;
дә	дә+PART;
әйтә	әйт+V+PRES(Й);
алмыйм	ал+V+NEG(мА)+HOR_SG(Йм);ал+V+NEG(мА)+PRES(Й)+1SG(м);
,	Type2
моны	бу+PN+ACC(нЫ);
начар	начар+Adj;
диюдән	дию+N+Sg+ABL(ДАн);
тыш	тыш+N+Sg+Nom;тыш+POST;
,	Type2
әлбәттә	әлбәттә+MOD;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
аның	ул+PN+GEN(нЫң);
нәрсә	нәрсә+PN;
яки	яки+CNJ;
кем	кем+PN;
турында	тур+N+Sg+POSS_3(СЫ)+LOC(ДА);турында+POST;
уйлаганын	уйла+V+PCP_PS(ГАн)+POSS_3(СЫ)+ACC(нЫ);
белә	бел+V+PRES(Й);
.	Type1
35	Num
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
ә	ә+PART;
менә	мен+V+PRES(Й);менә+PART;
нәрсә	нәрсә+PN;
өчен	өчен+POST;
борчыласың	борчы+V+PASS(Ыл)+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;борчы+V+PASS(Ыл)+PRES(Й)+2SG(сЫң);борчыл+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;борчыл+V+PRES(Й)+2SG(сЫң);
икән	икән+MOD;икән+PART;
син	син+PN;
.	Type1
һогвартс	һогвартс+N+Sg+Nom;
алды	ал+N+Sg+POSS_3(СЫ)+Nom;ал+V+PST_DEF(ДЫ);
төне	төн+N+Sg+POSS_3(СЫ)+Nom;
!	Type1
әгәр	әгәр+CNJ;
синең	син+PN+GEN(нЫң);
укырга	укы+V+INF_1(ЫргА);
барасың	бар+V+OBL(ЙсЫ)+POSS_2SG(Ың)+Nom;бар+V+PRES(Й)+2SG(сЫң);
килми	кил+V+NEG(мА)+PRES(Й);
икән	икән+MOD;икән+PART;
,	Type2
бу	бу+PN;
беркайчан	беркайчан+Adv;
да	да+PART;
яхшы	яхшы+Adj;яхшы+Adv;
төн	төн+N+Sg+Nom;
булмый	бул+V+NEG(мА)+PRES(Й);
.	Type1
Альбуска	альбус+N+Sg+DIR(ГА);
бала	бала+N+Sg+Nom;
юрганын	юрган+N+Sg+POSS_3(СЫ)+ACC(нЫ);
бүләк	бүләк+N+Sg+Nom;
итүең	и+V+CAUS(т)+VN_1(у/ү/в)+POSS_2SG(Ың)+Nom;ит+V+VN_1(у/ү/в)+POSS_2SG(Ың)+Nom;
матур	матур+Adj;
эш	эш+N+Sg+Nom;
иде	и+V+PST_DEF(ДЫ);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Шуннан	шул+PN+ABL(ДАн);
соң	соң+Adv;соң+N+Sg+Nom;соң+PART;соң+POST;
бары	бар+N+Sg+POSS_3(СЫ)+Nom;бар+PN+POSS_3(СЫ)+Nom;бары+CNJ;бары+PN;
да	да+PART;
бик	бик+Adv;
начар	начар+Adj;
якка	як+N+Sg+DIR(ГА);
китте	кит+V+PST_DEF(ДЫ);
.	Type1
Джинни	джинни+N+Sg+Nom;
,	Type2
мин	мин+PN;
кайбер	кайбер+PN;
сүзләр	сүз+N+PL(ЛАр)+Nom;
әйттем…	Error
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Мин	мин+PN;
ишеттем	ишет+V+PST_DEF(ДЫ)+1SG(м);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
һәм	һәм+CNJ;
син	син+PN;
һаман	һаман+Adv;
минем	мин+PN+GEN(нЫң);
белән	белән+POST;
сөйләшәсеңме	сөйләшәсеңм+N+Sg+POSS_3(СЫ)+Nom;
?	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Чөнки	чөнки+CNJ;
мин	мин+PN;
беләм	бел+V+PRES(Й)+1SG(м);
:	Type2
уңай	уңай+Adj;
форсат	форсат+N+Sg+Nom;
туры	тур+N+Sg+POSS_3(СЫ)+Nom;туры+Adj;
килү	кил+V+VN_1(у/ү/в)+Nom;
белән	белән+POST;
,	Type2
син	син+PN;
гафу	гафу+INTRJ;
үтенәчәксең	үт+V+REFL(Ын)+FUT_DEF(АчАк)+2SG(сЫң);үт+V+REFL(Ын)+PCP_FUT(АчАк)+2SG(сЫң);үтен+V+FUT_DEF(АчАк)+2SG(сЫң);үтен+V+PCP_FUT(АчАк)+2SG(сЫң);
һәм	һәм+CNJ;
башка	баш+N+Sg+DIR(ГА);башка+Adj;башка+POST;
сүзләр	сүз+N+PL(ЛАр)+Nom;
әйтергә	әйт+V+INF_1(ЫргА);
теләгәнеңне	телә+V+PCP_PS(ГАн)+POSS_2SG(Ың)+ACC(нЫ);
аңлатачаксың	аңла+V+CAUS(т)+FUT_DEF(АчАк)+2SG(сЫң);аңла+V+CAUS(т)+PCP_FUT(АчАк)+2SG(сЫң);аңлат+V+FUT_DEF(АчАк)+2SG(сЫң);аңлат+V+PCP_FUT(АчАк)+2SG(сЫң);
.	Type1
ә	ә+PART;
менә	мен+V+PRES(Й);менә+PART;
синең	син+PN+GEN(нЫң);
моны	бу+PN+ACC(нЫ);
яшерүең…	Error
анысы	анысы+PN;
башка	баш+N+Sg+DIR(ГА);башка+Adj;башка+POST;
нәрсә	нәрсә+PN;
.	Type1
Сиңа	син+PN+DIR(ГА);
аның	ул+PN+GEN(нЫң);
белән	белән+POST;
ихлас	ихлас+Adj;
булырга	бул+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
,	Type2
һарри…	Error
Аңа	ул+PN+DIR(ГА);
бит	бит+N+Sg+Nom;бит+PART;
шул	шул+PART;шул+PN;
да	да+PART;
җитә	җит+V+PRES(Й);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Мин	мин+PN;
нибары	нибары+Adv;
аның	ул+PN+GEN(нЫң);
Джеймс	Rus
яки	яки+CNJ;
Лилиягә	лилия+PROP+DIR(ГА);
ныграк	нык+Adj+COMP(рАк)+Sg+Nom;
охшавын	охша+V+VN_1(у/ү/в)+POSS_3(СЫ)+ACC(нЫ);
гына	гына+PART;
телим	тел+V+HOR_SG(Йм);телә+V+HOR_SG(Йм);телә+V+PRES(Й)+1SG(м);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
(	Type3
коры	коры+Adj;
гына	гына+PART;
)	Type3
:	Type2
әйе	әйе+MOD;
,	Type2
мөгаен	мөгаен+MOD;
,	Type2
бу	бу+PN;
кадәр	кадәр+Adv;кадәр+POST;
ихлас	ихлас+Adj;
булырга	бул+V+INF_1(ЫргА);
кирәкмидер	кирәк+V+NEG(мА)+PRES(Й)+PROB(ДЫр);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Юк	юк+MOD;
,	Type2
мин	мин+PN;
аның	ул+PN+GEN(нЫң);
бер	бер+Num;бер+PN;
ягын	ягын+V+IMP_SG();як+N+Sg+POSS_3(СЫ)+ACC(нЫ);як+V+REFL(Ын)+IMP_SG();
да	да+PART;
үзгәртмәс	үзгәр+V+CAUS(т)+FUT_INDF_NEG(мАс);үзгәр+V+CAUS(т)+PCP_FUT(мАс);үзгәрт+V+FUT_INDF_NEG(мАс);үзгәрт+V+PCP_FUT(мАс);
идем…	Error
ләкин	ләкин+CNJ;
мин	мин+PN;
аларны	алар+PN+ACC(нЫ);
аңлый	аңла+V+PRES(Й);
алам	ал+V+PRES(Й)+1SG(м);
,	Type2
ә	ә+PART;
аны…	Error
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Альбус	альбус+N+Sg+Nom;
башка	баш+N+Sg+DIR(ГА);башка+Adj;башка+POST;
төрле	төр+N+ATTR_MUN(лЫ);төрле+Adj;
,	Type2
һәм	һәм+CNJ;
бу	бу+PN;
яхшы	яхшы+Adj;яхшы+Adv;
түгелмени	түгел+PART+INT_MIR(мЫни);түк+V+PASS(Ыл)+INT_MIR(мЫни);
?	Type1
Син	син+PN;
«	Type4
һарри	һарри+N+Sg+Nom;
Поттерлыгыңны	поттерлыгыңн+N+Sg+POSS_3(СЫ)+Nom;поттерлыг+N+Sg+POSS_2SG(Ың)+ACC(нЫ);
»	Type4
күрсәтә	күрсәт+V+PRES(Й);
башлаганда	башла+V+PCP_PS(ГАн)+LOC(ДА);
,	Type2
ул	ул+N+Sg+Nom;ул+PN;
моны	бу+PN+ACC(нЫ);
сизә	сиз+V+PRES(Й);
.	Type1
Вәләкин	вәләкин+CNJ;
ул	ул+N+Sg+Nom;ул+PN;
синең	син+PN+GEN(нЫң);
чын	чын+Adj;
йөзеңне	йөз+N+Sg+POSS_2SG(Ың)+ACC(нЫ);йөз+Num+POSS_2SG(Ың)+ACC(нЫ);
күрергә	күр+V+INF_1(ЫргА);
тели	телә+V+PRES(Й);
бит	бит+N+Sg+Nom;бит+PART;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
«	Type4
Хакыйкать	хакыйкать+N+Sg+Nom;
гаҗәеп	гаҗәеп+Adj;
матур	матур+Adj;
һәм	һәм+CNJ;
искиткеч	искиткеч+Adv;
куркыныч	куркыныч+Adj;
нәрсә	нәрсә+PN;
,	Type2
шулай	шулай+PN;
булгач	бул+V+ADVV_ANT(ГАч);
,	Type2
аңа	ул+PN+DIR(ГА);
чиксез	чик+N+ATTR_ABES(сЫз)+Sg+Nom;чик+N+Sg+2PL(сЫз);
саклык	сак+N+NMLZ(лЫк)+Sg+Nom;сак+N+PSBL(лЫк);сак+PROP+NMLZ(лЫк)+Sg+Nom;сак+PROP+PSBL(лЫк);
белән	белән+POST;
мөрәҗәгать	мөрәҗәгать+N+Sg+Nom;
итәргә	и+V+CAUS(т)+INF_1(ЫргА);ит+V+INF_1(ЫргА);
кирәк	кирәк+MOD;
»	Type4
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
аңа	ул+PN+DIR(ГА);
гаҗәпләнеп	гаҗәплән+V+ADVV_ACC(Ып);
карап	кара+V+ADVV_ACC(Ып);
тора	тор+V+PRES(Й);
.	Type1
Дамблдор	дамблдор+N+Sg+Nom;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Балага	бала+N+Sg+DIR(ГА);
әйтә	әйт+V+PRES(Й);
торган	тор+V+PCP_PS(ГАн);тор+V+PST_INDF(ГАн);
сүзләр	сүз+N+PL(ЛАр)+Nom;
өчен	өчен+POST;
сәеррәк	сәер+Adj+COMP(рАк)+Sg+Nom;
яңгырый	яңгыра+V+PRES(Й);
.	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Юк	юк+MOD;
.	Type1
әгәр	әгәр+CNJ;
бу	бу+PN;
бала	бала+N+Sg+Nom;
дөньяны	дөнья+N+Sg+ACC(нЫ);
коткару	коткар+V+VN_1(у/ү/в)+Nom;
хакына	хакына+POST;
үлергә	үл+V+INF_1(ЫргА);
тиеш	ти+V+RECP(Ыш)+IMP_SG();ти+V+VN_2(Ыш)+Nom;тиеш+MOD;
дип	ди+V+ADVV_ACC(Ып);
ышансаң	ышан+V+COND(сА)+2SG(ң);
,	Type2
сәер	сәер+Adj;
түгел	түгел+PART;
.	Type1
һАРРИ	һарри+N+Sg+Nom;
янә	янә+Adv;
авыр	авыр+Adj;авыр+V+IMP_SG();ау+V+FUT_INDF(Ыр);ау+V+PCP_FUT(Ыр);
сулап	су+N+DISTR(лАп);сула+V+ADVV_ACC(Ып);
куя	куй+V+PRES(Й);
,	Type2
хәзер	хәзер+Adv;
ул	ул+N+Sg+Nom;ул+PN;
маңгаен	маңгай+N+Sg+POSS_3(СЫ)+ACC(нЫ);
тотмыйча	тот+V+NEG(мА)+ADVV_NEG(ЙчА);
булдыра	бул+V+CAUS(ДЫр)+PRES(Й);булдыр+V+PRES(Й);
алмый	ал+V+NEG(мА)+PRES(Й);
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
һарри	һарри+N+Sg+Nom;
,	Type2
ни	ни+CNJ;ни+PART;ни+PN;
булды	бул+V+PST_DEF(ДЫ);
?	Type1
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Тәртип	тәртип+N+Sg+Nom;
.	Type1
Бар	бар+MOD;бар+N+Sg+Nom;бар+PN;бар+V+IMP_SG();
да	да+PART;
тәртип	тәртип+N+Sg+Nom;
.	Type1
Мин	мин+PN;
сине	син+PN+ACC(нЫ);
ишетәм	ишет+V+PRES(Й)+1SG(м);
.	Type1
Мин	мин+PN;
тырышырмын…	Error
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
Синең	син+PN+GEN(нЫң);
яраң	яра+N+Sg+POSS_2SG(Ың)+Nom;яраң+PROP+Sg+Nom;
авыртамы	авыр+V+CAUS(т)+PRES(Й)+INT(мЫ);авырт+V+PRES(Й)+INT(мЫ);
?	Type1
һАРРИ	һарри+N+Sg+Nom;
.	Type1
Юк	юк+MOD;
.	Type1
Юк	юк+MOD;
.	Type1
Мин	мин+PN;
тәртиптә	тәртип+N+Sg+LOC(ДА);
.	Type1
әйдә	әйдә+INTRJ;әйдә+V+IMP_SG();
,	Type2
Ноксла	ноксла+N+Sg+Nom;
утны	ут+N+Sg+ACC(нЫ);
һәм	һәм+CNJ;
йоклыйк	йокла+V+HOR_PL(Йк);
инде	инде+PART;
.	Type1
ДЖИННИ	джинни+N+Sg+Nom;
:	Type2
һарри	һарри+N+Sg+Nom;
,	Type2
синең	син+PN+GEN(нЫң);
яраң	яра+N+Sg+POSS_2SG(Ың)+Nom;яраң+PROP+Sg+Nom;
ничә	ничә+PN;
ел	ел+N+Sg+Nom;
авыртмады	авыр+V+CAUS(т)+NEG(мА)+PST_DEF(ДЫ);авырт+V+NEG(мА)+PST_DEF(ДЫ);
инде	инде+PART;
?	Type1
һАРРИ	һарри+N+Sg+Nom;
ДЖИННИга	джинни+N+Sg+DIR(ГА);
борылып	бор+V+PASS(Ыл)+ADVV_ACC(Ып);борыл+V+ADVV_ACC(Ып);
карый	кара+V+PRES(Й);карый+N+Sg+Nom;
,	Type2
аның	ул+PN+GEN(нЫң);
йөзе	йөз+N+Sg+POSS_3(СЫ)+Nom;йөз+Num+POSS_3(СЫ)+Nom;
аңа	ул+PN+DIR(ГА);
барын	бар+N+Sg+POSS_3(СЫ)+ACC(нЫ);бар+PN+POSS_3(СЫ)+ACC(нЫ);бар+V+REFL(Ын)+IMP_SG();
да	да+PART;
аңлатып	аңла+V+CAUS(т)+ADVV_ACC(Ып);аңлат+V+ADVV_ACC(Ып);
бирә	бир+V+PRES(Й);
.	Type1
36	Num
һАРРИ	һарри+N+Sg+Nom;
:	Type2
Егерме	егерме+Num;
ике	ике+Num;
ел	ел+N+Sg+Nom;
.	Type1
БЕРЕНЧЕ	бер+Num+NUM_ORD(ЫнчЫ);
ПәРДә	пәрдә+N+Sg+Nom;
,	Type2
УНЫНЧЫ	ун+Num+NUM_ORD(ЫнчЫ);
